timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ,label,
24082,-1,-0.04,-0.12,0.79,0.79,-0.12,default,TRUE
24090,-1,-0.04,-0.12,0.79,0.79,-0.12,default,FALSE
24098,-1,-0.04,-0.12,0.92,0.98,-0.06,default,FALSE
24106,-1,-0.04,-0.12,0.92,0.98,-0.06,default,FALSE
24114,-1,-0.04,-0.12,0.73,0.73,-0.06,default,FALSE
24122,-1,-0.04,-0.12,0.98,0.79,0.06,default,FALSE
24130,-1,-0.04,-0.12,0.98,0.73,0,default,FALSE
24138,-1,-0.04,-0.12,1.16,0.67,-0.12,default,FALSE
24146,-1,-0.04,-0.12,0.98,0.92,-0.12,default,FALSE
24154,-1,-0.04,-0.12,1.1,0.79,0,default,FALSE
24162,-1,-0.04,-0.12,1.4,0.55,0.18,default,FALSE
24170,-1,-0.04,-0.12,1.4,0.61,0.31,default,FALSE
24178,0,0,0,0,0,ovf,default,FALSE
24186,-1,-0.04,-0.12,1.46,1.16,-0.12,default,FALSE
24194,-1,-0.04,-0.12,1.46,1.16,-0.12,default,FALSE
24202,-1,-0.04,-0.12,1.34,1.53,-0.37,default,FALSE
24210,-1,-0.04,-0.12,1.34,1.71,-0.31,default,FALSE
24218,-1,-0.04,-0.12,1.34,1.65,-0.24,default,FALSE
24226,-1,-0.04,-0.12,1.34,1.65,-0.37,default,FALSE
24234,-1,-0.04,-0.12,1.28,1.65,-0.43,default,FALSE
24242,-1,-0.04,-0.12,1.34,1.65,-0.18,default,FALSE
24250,-1,-0.04,-0.12,1.34,1.59,-0.18,default,FALSE
24258,-1,-0.04,-0.12,1.46,1.4,-0.18,default,FALSE
24266,-1,-0.04,-0.12,1.46,1.34,-0.12,default,FALSE
24274,-1,-0.04,-0.12,1.34,1.28,-0.06,default,FALSE
24282,-1,-0.04,-0.12,1.4,0.85,0.06,default,FALSE
24290,-1,-0.04,-0.12,1.4,0.85,0.06,default,FALSE
24298,-1,-0.04,-0.12,1.4,0.98,0.06,default,FALSE
24306,-1,-0.04,-0.12,1.53,1.16,0,default,FALSE
24314,-1,-0.04,-0.12,1.46,1.59,-0.12,default,FALSE
24322,-1,-0.04,-0.12,1.65,1.65,-0.12,default,FALSE
24330,-1,-0.04,-0.12,1.46,1.53,-0.24,default,FALSE
24338,-1,-0.04,-0.12,1.46,1.28,-0.31,default,FALSE
24346,-1,-0.04,-0.12,1.53,1.28,-0.06,default,FALSE
24354,-1,-0.04,-0.12,1.53,1.46,-0.06,default,FALSE
24362,-1,-0.04,-0.12,1.59,1.46,-0.12,default,FALSE
24370,-1,-0.04,-0.12,1.53,1.46,-0.24,default,FALSE
24378,-1,-0.04,-0.12,1.53,1.28,-0.06,default,FALSE
24386,-1,-0.04,-0.12,1.53,1.28,-0.06,default,FALSE
24394,-1,-0.04,-0.12,1.65,1.4,-0.12,default,FALSE
24402,-1,-0.04,-0.12,1.65,1.4,-0.12,default,FALSE
24410,-1,-0.04,-0.12,1.46,1.71,-0.24,default,FALSE
24418,-1,-0.04,-0.12,1.46,1.83,-0.18,default,FALSE
24426,-1,-0.04,-0.12,1.4,1.95,-0.18,default,FALSE
24434,-1,-0.04,-0.12,1.59,2.08,-0.37,default,FALSE
24442,-1,-0.04,-0.12,1.53,1.77,-0.31,default,FALSE
24450,-1,-0.04,-0.12,1.71,1.53,-0.18,default,FALSE
24458,-1,-0.04,-0.12,1.53,1.28,-0.18,default,FALSE
24466,-1,-0.04,-0.12,1.46,1.46,-0.18,default,FALSE
24474,-1,-0.04,-0.12,1.46,1.46,-0.18,default,FALSE
24482,-1,-0.04,-0.12,1.59,1.34,-0.18,default,FALSE
24490,-1,-0.04,-0.12,1.59,1.34,-0.18,default,FALSE
24498,-1,-0.04,-0.12,1.34,1.4,-0.12,default,FALSE
24506,-1,-0.04,-0.12,1.53,1.16,0.06,default,FALSE
24514,-1,-0.04,-0.12,1.28,0.98,-0.06,default,FALSE
24522,-1,-0.04,-0.12,1.04,1.16,0.12,default,FALSE
24530,-1,-0.04,-0.12,1.04,1.04,0.18,default,FALSE
24538,-1,-0.04,-0.12,0.92,0.55,0.06,default,FALSE
24546,-1,-0.04,-0.12,0.98,0.49,0.18,default,FALSE
24554,-1,-0.04,-0.12,1.04,0.79,0.12,default,FALSE
24562,-1,-0.04,-0.13,1.04,0.85,0.18,default,FALSE
24570,-1,-0.04,-0.13,0.61,1.04,-0.12,default,FALSE
24578,-1,-0.04,-0.12,0.31,1.34,-0.24,default,FALSE
24586,-1,-0.04,-0.12,0.31,1.34,-0.24,default,FALSE
24594,-1,-0.04,-0.12,0.37,1.95,-0.37,default,FALSE
24602,-1,-0.04,-0.11,0.37,1.95,-0.37,default,FALSE
24610,-1,-0.04,-0.11,0.61,1.4,-0.18,default,FALSE
24618,-1,-0.04,-0.11,0.49,1.4,-0.12,default,FALSE
24626,-1,-0.03,-0.12,0.85,1.34,0.06,default,FALSE
24634,-0.99,-0.04,-0.12,1.65,1.22,0,default,FALSE
