timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ,label
1721158,-0.99,-0.03,-0.15,-0.98,0.37,-0.24,default
1721166,-0.99,-0.03,-0.15,-0.73,-0.18,0.12,default
1721174,-0.99,-0.03,-0.15,-0.67,-0.43,0.31,default
1721182,-0.99,-0.04,-0.15,-0.92,-0.49,0.24,default
1721190,-0.99,-0.03,-0.15,-1.71,-0.37,-0.06,default
1721198,-0.99,-0.04,-0.15,-2.20,0.12,-0.06,default
1721206,-0.99,-0.03,-0.15,-2.75,0.67,-0.37,default
1721214,-0.99,-0.03,-0.15,-2.93,0.79,-0.49,default
1721222,-0.99,-0.03,-0.15,-2.50,0.85,-0.43,default
1721230,-0.99,-0.03,-0.15,-2.01,0.43,-0.37,default
1721238,-0.99,-0.03,-0.15,-2.01,0.43,-0.37,default
1721246,-0.99,-0.03,-0.15,-1.59,0.18,-0.37,default
1721254,-0.99,-0.03,-0.15,-1.28,0.49,-0.37,default
1721262,-0.99,-0.03,-0.15,-1.77,0.79,-0.67,default
1721270,-0.99,-0.03,-0.15,-2.44,1.46,-0.98,default
1721278,-0.99,-0.03,-0.15,-2.44,1.83,-1.16,default
1721286,-0.99,-0.03,-0.15,-2.38,1.71,-0.98,default
1721294,-0.99,-0.03,-0.15,-2.32,1.16,-0.79,default
1721302,-0.99,-0.03,-0.15,-1.95,0.73,-0.37,default
1721310,-0.99,-0.03,-0.15,-1.95,0.43,-0.31,default
1721318,-0.99,-0.03,-0.15,-1.59,0.49,-0.37,default
1721326,-0.99,-0.03,-0.15,-1.40,0.92,-0.61,default
1721334,-0.99,-0.03,-0.15,-1.40,0.92,-0.61,default
1721342,-0.99,-0.03,-0.15,-1.53,1.34,-0.92,default
1721350,-0.99,-0.03,-0.15,-1.53,1.34,-0.92,default
1721358,-0.99,-0.02,-0.15,-1.16,1.89,-0.79,default
1721366,-0.99,-0.03,-0.15,-0.37,1.46,-0.55,default
1721374,-0.99,-0.03,-0.15,0.00,1.10,-0.49,default
1721382,-0.99,-0.03,-0.15,0.49,0.55,0.00,default
1721390,-0.99,-0.03,-0.15,0.73,0.37,-0.06,default
1721398,-0.99,-0.03,-0.15,0.61,0.31,-0.24,default
1721406,-0.99,-0.03,-0.15,0.49,0.55,-0.12,default
1721414,-0.99,-0.03,-0.15,0.61,0.55,-0.18,default
1721422,-0.99,-0.03,-0.15,0.61,0.55,-0.18,default
1721430,-0.99,-0.03,-0.15,0.98,0.37,0.18,default
1721438,-0.99,-0.03,-0.15,0.00,0.00,ovf,default
1721446,-0.99,-0.03,-0.15,1.16,-0.12,0.18,default
1721454,-0.99,-0.03,-0.16,1.53,-0.06,0.37,default
1721462,-0.99,-0.03,-0.15,1.65,0.31,0.37,default
1721470,-0.99,-0.03,-0.16,1.46,0.49,0.31,default
1721478,-0.99,-0.03,-0.16,1.65,0.73,0.31,default
1721486,-0.99,-0.03,-0.16,1.53,0.98,0.00,default
1721494,-0.99,-0.03,-0.15,1.34,1.22,-0.31,default
1721502,-0.99,-0.03,-0.15,1.46,1.46,-0.18,default
1721510,-0.99,-0.03,-0.15,1.34,1.59,-0.37,default
1721518,-0.99,-0.03,-0.15,1.34,1.89,-0.37,default
1721526,-0.99,-0.03,-0.15,1.40,1.65,-0.31,default
1721534,-0.99,-0.03,-0.15,1.40,1.65,-0.31,default
1721542,-0.99,-0.03,-0.15,1.34,1.46,-0.12,default
1721550,-0.99,-0.03,-0.15,1.40,1.40,-0.18,default
1721558,-0.99,-0.03,-0.15,1.59,1.65,-0.24,default
1721566,-0.99,-0.03,-0.15,1.65,1.34,-0.06,default
1721574,-0.99,-0.03,-0.15,1.83,1.22,0.06,default
1721582,-0.99,-0.03,-0.15,2.08,0.85,0.12,default
1721590,-0.99,-0.03,-0.15,2.56,0.73,0.37,default
1721598,-0.99,-0.03,-0.15,2.75,0.18,0.37,default
1721606,-0.99,-0.03,-0.15,2.87,0.43,0.37,default
1721614,-0.99,-0.03,0.00,2.81,0.49,0.24,default
1721622,-0.99,-0.03,-0.15,2.87,0.49,0.49,default
1721630,-0.99,-0.03,-0.15,2.87,0.49,0.49,default
1721638,-0.99,-0.03,-0.15,2.93,0.79,0.18,default
1721646,-0.99,-0.03,-0.16,2.93,0.79,0.18,default
1721654,-0.99,-0.03,-0.16,2.38,1.16,0.18,default
1721662,-0.99,-0.03,-0.16,2.08,1.53,0.12,default
1721670,-0.99,-0.03,-0.15,1.71,1.77,-0.06,default
1721678,-0.99,-0.03,-0.16,1.77,1.53,-0.12,default
1721686,-0.99,-0.03,-0.16,1.77,1.53,-0.12,default
1721694,-0.99,-0.03,-0.15,1.77,1.71,-0.18,default
1721702,-0.99,-0.03,-0.15,1.71,1.89,-0.24,default
1721710,-0.99,-0.03,-0.15,1.65,2.01,-0.43,default
1721718,-0.99,-0.03,-0.15,1.65,2.01,-0.43,default
1721726,-0.99,-0.03,-0.15,2.08,1.83,0.06,default
1721734,-0.99,-0.03,-0.15,2.08,1.83,0.06,default
1721742,-0.99,-0.03,-0.15,2.26,1.46,0.24,default
1721750,-0.99,-0.03,-0.15,2.14,1.28,0.00,default
1721758,-0.99,-0.03,-0.15,1.95,1.34,0.06,default
1721766,-0.99,-0.03,-0.15,1.95,1.46,-0.06,default
1721774,-0.99,-0.03,-0.15,1.83,1.40,0.06,default
1721782,-0.99,-0.03,-0.15,1.65,1.28,0.00,default
1721790,-0.99,-0.03,-0.15,1.40,1.53,-0.06,default
1721798,-0.99,-0.03,-0.15,1.34,1.59,-0.18,default
1721806,-0.99,-0.03,-0.15,1.28,1.89,-0.18,default
1721814,-0.99,-0.03,-0.15,1.28,1.71,-0.31,default
1721822,-0.99,-0.03,-0.15,1.46,1.53,-0.18,default
1721830,-0.99,-0.03,-0.15,1.46,1.53,-0.18,default
1721838,-0.99,-0.03,-0.15,1.46,1.65,-0.24,default
1721846,-0.99,-0.03,-0.15,1.46,1.65,-0.24,default
1721854,-0.99,-0.03,-0.15,1.46,1.83,-0.43,default
1721862,-0.99,-0.03,-0.15,1.53,2.08,-0.31,default
1721870,-0.99,-0.03,-0.15,1.40,1.83,-0.37,default
1721878,-0.99,-0.03,-0.15,1.28,1.83,-0.24,default
1721886,-0.99,-0.03,-0.15,1.04,1.46,-0.12,default
1721894,-0.99,-0.03,-0.15,1.10,1.34,-0.18,default
1721902,-0.99,-0.03,-0.15,1.22,1.22,-0.18,default
1721910,-0.99,-0.03,-0.15,1.22,1.34,-0.18,default
1721918,-0.99,-0.03,-0.15,1.16,1.40,-0.18,default
1721926,-0.99,-0.03,-0.15,1.16,1.40,-0.18,default
1721934,-0.99,-0.03,-0.15,1.28,1.34,-0.24,default
1721942,-0.99,-0.03,-0.15,1.28,1.34,-0.24,default
1721950,-0.99,-0.03,-0.15,1.28,1.46,-0.18,default
1721958,-0.99,-0.03,-0.15,1.16,1.46,-0.18,default
1721966,-0.99,-0.03,-0.15,1.28,1.53,-0.24,default
1721974,-0.99,-0.03,-0.15,0.98,1.77,-0.37,default
1721982,-0.99,-0.03,-0.15,1.04,1.89,-0.37,default
1721990,-0.99,-0.03,-0.15,1.04,2.01,-0.43,default
1721998,-0.99,-0.03,-0.15,1.16,1.71,-0.18,default
1722006,-0.99,-0.03,-0.15,1.22,1.40,-0.18,default
1722014,-0.99,-0.03,-0.15,1.40,1.22,-0.12,default
1722022,-0.99,-0.03,-0.15,1.40,1.22,-0.12,default
1722030,-0.99,-0.03,-0.15,1.40,1.22,-0.12,default
1722038,-0.99,-0.03,-0.15,1.16,1.16,-0.24,default
1722046,-0.99,-0.03,-0.15,1.16,1.28,-0.18,default
1722054,-0.99,-0.03,-0.15,1.40,1.16,-0.12,default
1722062,-0.99,-0.03,-0.15,1.53,1.16,0.00,default
1722070,-0.99,-0.03,-0.15,1.34,1.22,0.00,default
1722078,-0.99,-0.03,-0.15,1.28,1.04,-0.06,default
1722086,-0.99,-0.03,-0.15,1.40,1.04,-0.06,default
1722094,-0.99,-0.03,-0.15,1.40,0.98,-0.12,default
1722102,-0.99,-0.03,-0.15,1.22,0.98,-0.06,default
1722110,-0.99,-0.03,-0.15,1.40,1.53,-0.18,default
