timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ,label,
-1,-0.03,-0.11,1.4,0.37,-0.37,default,,
129083,-1,-0.03,-0.11,1.4,0.37,-0.37,default,TRUE
129091,-1,-0.03,-0.11,1.4,0.49,-0.37,default,FALSE
129099,-1,-0.03,-0.1,1.46,0.37,-0.18,default,FALSE
129107,-1,-0.03,-0.11,1.46,0.61,-0.18,default,FALSE
129115,-1,-0.03,-0.11,1.22,0.79,-0.12,default,FALSE
129123,-1,-0.04,-0.11,0.98,0.43,-0.24,default,FALSE
129131,-1.01,-0.04,-0.12,0.55,-0.06,-0.06,default,FALSE
129139,-1,-0.03,-0.12,0.12,1.04,-0.43,default,FALSE
129147,-0.99,-0.04,-0.12,-0.18,1.53,-0.49,default,FALSE
129155,-1,-0.06,-0.11,-0.85,0.37,-0.61,default,FALSE
129163,-1,-0.06,-0.11,-4.7,0.31,-0.92,default,FALSE
129171,-0.99,-0.06,-0.11,-9.77,-0.18,-1.46,default,FALSE
129179,-0.99,-0.05,-0.12,-9.77,-0.18,-1.46,default,FALSE
129187,-1,-0.02,-0.13,-11.29,-1.22,-0.98,default,FALSE
129195,-0.98,-0.02,-0.11,-11.29,-1.22,-0.98,default,FALSE
129203,-1.02,0.01,-0.12,-5.98,-3.11,-0.49,default,FALSE
129211,-1.01,0.04,-0.12,-2.99,-0.85,-0.49,default,FALSE
129219,-0.98,0.01,-0.11,1.89,2.87,0.12,default,FALSE
129227,-0.99,-0.04,-0.1,3.72,1.34,0.79,default,FALSE
129235,-1,-0.04,-0.12,4.27,-1.89,0.73,default,FALSE
129243,-1,-0.02,-0.13,6.04,-0.43,0.73,default,FALSE
129251,-1,-0.03,-0.13,8.67,0.55,0.73,default,FALSE
129259,0,0,0,9.09,0.43,1.22,default,FALSE
129267,-1,-0.03,-0.12,8.67,1.77,0.98,default,FALSE
129275,-1,-0.03,-0.12,8.67,1.77,0.98,default,FALSE
129283,-0.99,-0.04,-0.1,8.61,2.93,1.16,default,FALSE
129291,-0.98,-0.06,-0.1,8.61,2.93,1.16,default,FALSE
129299,-1.01,-0.04,-0.12,2.14,-0.55,1.34,default,FALSE
129307,-1.02,-0.04,-0.12,1.34,-0.37,0.43,default,FALSE
129315,-1.01,-0.04,-0.11,1.71,4.52,-0.79,default,FALSE
129323,-1.01,-0.03,-0.1,1.71,6.29,-1.59,default,FALSE
129331,-0.99,-0.03,-0.13,1.34,5.86,-1.34,default,FALSE
129339,-1,-0.03,-0.14,1.04,3.17,-0.31,default,FALSE
129347,-0.99,-0.05,-0.13,1.28,0.73,-0.31,default,FALSE
129355,-1.01,-0.04,-0.13,0.79,0.79,-0.37,default,FALSE
129363,-1.01,-0.04,-0.13,-0.12,1.95,-0.79,default,FALSE
129371,-1,-0.04,-0.12,-1.65,3.05,-0.73,default,FALSE
129379,-0.99,-0.03,-0.13,-1.65,3.05,-0.73,default,FALSE
129387,-0.99,-0.04,-0.11,-2.62,1.89,-0.49,default,FALSE
129395,-0.99,-0.04,-0.11,-3.72,0.37,-0.55,default,FALSE
129403,-1,-0.03,-0.12,-4.76,-0.85,-0.55,default,FALSE
129411,-0.99,-0.04,-0.1,-5.07,-1.83,-0.73,default,FALSE
129419,-1,-0.04,-0.1,-5.86,-2.38,-0.67,default,FALSE
129427,-1,-0.04,-0.1,-7.75,-3.05,-0.67,default,FALSE
129435,-1,-0.02,-0.11,-9.34,-1.59,-0.98,default,FALSE
129443,-1.01,0,-0.13,-8.91,0.73,-1.04,default,FALSE
129451,-0.97,-0.01,-0.12,-5.55,2.5,-0.85,default,FALSE
129459,-0.97,-0.01,-0.12,-2.44,0.24,0.18,default,FALSE
129467,-1,-0.04,-0.12,-3.72,0.12,0.55,default,FALSE
129475,-1,-0.04,-0.12,-3.72,0.12,0.55,default,FALSE
129483,-0.99,-0.03,-0.12,-5.31,0.98,0.31,default,FALSE
129491,-1,-0.03,-0.13,-5.31,0.98,0.31,default,FALSE
129499,-1,-0.03,-0.13,-4.33,0.06,0.31,default,FALSE
129507,-1,-0.04,-0.13,-2.99,0.06,-0.06,default,FALSE
129515,-1,-0.03,-0.12,-1.46,0.37,-0.67,default,FALSE
129523,-1,-0.03,-0.12,-0.85,1.53,-0.73,default,FALSE
129531,-1.01,-0.02,-0.12,0.12,2.62,-0.73,default,FALSE
129539,-1.01,-0.04,-0.11,1.89,4.82,-1.34,default,FALSE
129547,-1,-0.04,-0.11,2.69,7.02,-2.26,default,FALSE
129555,-0.99,0.03,-0.08,3.05,7.87,-2.93,default,FALSE
129563,-0.99,0.03,-0.08,3.05,7.87,-2.93,default,FALSE
129571,-0.98,0,-0.11,8.67,4.94,0.49,default,FALSE
129579,-1,0.01,-0.15,8.67,4.94,0.49,default,FALSE
129587,-0.98,-0.01,-0.12,15.99,4.21,1.04,default,FALSE
129595,-1,-0.04,-0.12,21.18,3.11,2.26,default,FALSE
129603,-1.01,-0.05,-0.11,21.48,1.59,2.32,default,FALSE
129611,-0.99,-0.06,-0.09,18.49,2.81,1.83,default,FALSE
129619,-0.99,-0.08,-0.09,13.85,2.38,1.4,default,FALSE
129627,-1,-0.07,-0.09,6.59,0.67,0.43,default,FALSE
129635,-1,-0.01,-0.12,2.14,1.46,-0.12,default,FALSE
129643,-1,-0.01,-0.14,3.78,0.79,-0.12,default,FALSE
129651,-1,-0.04,-0.12,6.96,0.92,0.37,default,FALSE
129659,-1,-0.04,-0.12,7.39,1.22,0.55,default,FALSE
129667,-1,-0.04,-0.11,6.59,1.04,0.67,default,FALSE
129675,-1,-0.03,-0.11,6.59,1.04,0.67,default,FALSE
129683,-1,-0.04,-0.11,6.35,0.18,0.55,default,FALSE
129691,-1,-0.05,-0.1,6.35,0.18,0.55,default,FALSE
129699,-0.99,-0.03,-0.11,2.14,0.49,0.12,default,FALSE
129707,-1,-0.03,-0.11,1.22,-0.37,0.18,default,FALSE
129715,-1,-0.03,-0.11,1.4,-0.67,0.06,default,FALSE
129723,-1.01,-0.03,-0.12,1.34,0,-0.12,default,FALSE
129731,-1,-0.03,-0.11,1.4,0.92,-0.18,default,FALSE
129739,-0.99,-0.03,-0.11,1.59,2.26,-0.18,default,FALSE
129747,-1,-0.03,-0.12,1.4,1.28,-0.12,default,FALSE
129755,-1,-0.03,-0.12,1.53,1.28,-0.18,default,FALSE
129763,-0.99,-0.06,-0.11,1.71,0.67,0,default,FALSE
129771,-0.99,-0.06,-0.11,1.71,0.67,0,default,FALSE
129779,-1,-0.03,-0.12,1.4,0.06,-0.06,default,FALSE
129787,-1,-0.03,-0.12,1.4,0.06,-0.06,default,FALSE
129795,-1,-0.01,-0.12,2.26,1.4,0.06,default,FALSE
129803,-0.98,0.01,-0.13,5.31,2.01,0.31,default,FALSE
129811,-1,0.01,-0.13,12.15,-0.92,1.16,default,FALSE
129819,-1,-0.04,-0.11,18.8,-1.59,1.89,default,FALSE
129827,-1.01,-0.09,-0.16,18.07,-0.49,1.89,default,FALSE
129835,-1.02,-0.11,-0.11,10.38,1.34,0.49,default,FALSE
129843,-1.01,-0.07,-0.1,0.92,3.3,-1.89,default,FALSE
129851,-0.98,0.03,-0.1,-5.07,5.25,-4.58,default,FALSE
129859,-0.98,0.03,-0.1,-5.07,5.25,-4.58,default,FALSE
129867,-0.98,0.01,-0.12,-1.53,2.69,-1.89,default,FALSE
129875,-1,-0.03,-0.11,-1.53,2.69,-1.89,default,FALSE
129883,-1.01,-0.04,-0.12,-2.38,2.56,-2.01,default,FALSE
129891,-0.99,-0.03,-0.13,-2.38,4.39,-2.38,default,FALSE
129899,-0.98,-0.02,-0.1,0,3.66,-1.95,default,FALSE
129907,-0.99,-0.02,-0.12,3.23,0.55,-1.28,default,FALSE
129915,-0.99,-0.02,-0.13,5,-0.43,-0.92,default,FALSE
129923,-1,-0.02,-0.11,4.82,-1.95,-1.28,default,FALSE
129931,-1.01,-0.02,-0.09,3.23,-0.79,-0.92,default,FALSE
129939,-1,-0.01,-0.09,-0.43,1.46,0.98,default,FALSE
129947,-1.01,-0.02,-0.08,-2.56,0.49,-0.12,default,FALSE
129955,-1.01,-0.02,-0.08,-2.99,0.79,-1.59,default,FALSE
129963,-1,-0.01,-0.11,-1.89,1.77,-0.85,default,FALSE
129971,-1,-0.01,-0.12,-1.89,1.77,-0.85,default,FALSE
129979,-1,-0.01,-0.12,-0.31,2.75,-0.06,default,FALSE
129987,-1,-0.03,-0.11,-0.31,2.75,-0.06,default,FALSE
129995,-1,-0.05,-0.11,2.87,2.69,0.06,default,FALSE
130003,-1,-0.06,-0.11,2.56,2.26,-0.18,default,FALSE
130011,-1,-0.07,-0.11,1.22,2.75,-0.06,default,FALSE
130019,-1,-0.05,-0.11,0.37,3.11,-0.37,default,FALSE
130027,-1,-0.03,-0.12,-0.31,2.93,-0.67,default,FALSE
130035,-1,-0.02,-0.12,-0.12,2.14,-0.61,default,FALSE
130043,-1,-0.03,-0.11,0.49,2.32,-0.49,default,FALSE
130051,-1,-0.03,-0.11,0.92,1.95,-0.37,default,FALSE
130059,-1,-0.03,-0.11,0.18,1.16,-0.37,default,FALSE
130067,-1,-0.03,-0.11,0.18,1.16,-0.37,default,FALSE
130075,-1,-0.04,-0.11,-0.61,0.73,-0.31,default,FALSE
130083,-0.99,-0.02,-0.11,-0.61,0.73,-0.31,default,FALSE
130091,-1,-0.02,-0.11,-2.32,0.06,-0.49,default,FALSE
130099,-1,-0.01,-0.11,-2.2,-0.37,-0.49,default,FALSE
130107,-1,0.01,-0.11,-2.01,-0.31,-0.67,default,FALSE
130115,-1,0,-0.12,-0.92,0.67,-0.85,default,FALSE
130123,-1,-0.03,-0.11,0.12,1.53,-1.34,default,FALSE
130131,-1.01,-0.01,-0.12,0.31,1.83,-1.65,default,FALSE
130139,-0.99,-0.01,-0.12,1.22,2.2,-2.2,default,FALSE
130147,-0.99,-0.01,-0.13,3.3,1.59,-1.46,default,FALSE
130155,-0.99,-0.01,-0.13,4.33,0,-0.55,default,FALSE
130163,-1,-0.02,-0.12,4.39,0,-0.49,default,FALSE
130171,-1,-0.03,-0.12,4.39,0,-0.49,default,FALSE
130179,-1,-0.04,-0.13,3.11,0.24,-1.1,default,FALSE
130187,-1.05,-0.04,-0.13,1.53,0,-2.01,default,FALSE
130195,-1.08,-0.02,-0.13,-0.73,-3.72,-12.08,default,FALSE
130203,-1.1,-0.03,-0.14,-2.08,-6.1,-23.68,default,FALSE
130211,-1.08,-0.04,-0.16,-3.6,-1.28,-28.81,default,FALSE
130219,-1.07,-0.08,-0.17,-6.29,5.86,-28.63,default,FALSE
130227,-1.05,-0.08,-0.17,-9.58,11.29,-22.89,default,FALSE
130235,-1.03,-0.03,-0.16,-12.76,13.55,-12.94,default,FALSE
130243,-1.04,0.01,-0.16,-13.43,12.51,-3.48,default,FALSE
130251,-1.04,0.01,-0.16,-12.57,10.13,1.89,default,FALSE
130259,-1.07,0.02,-0.14,-10.62,8.79,5.43,default,FALSE
130267,-1.07,0.02,-0.14,-10.62,8.79,5.43,default,FALSE
130275,-1.09,0.04,-0.12,-7.63,8.42,6.65,default,FALSE
130283,-1.05,0.03,-0.1,-7.63,8.42,6.65,default,FALSE
130291,-0.98,0.04,-0.09,-3.91,7.87,8.24,default,FALSE
130299,-0.98,0.03,-0.09,-1.46,4.58,10.13,default,FALSE
130307,-0.98,0.01,-0.09,1.22,0.49,8.24,default,FALSE
130315,-0.97,-0.01,-0.08,2.87,-2.14,4.52,default,FALSE
130323,-0.97,-0.02,-0.1,2.5,-5.13,2.56,default,FALSE
130331,-0.97,-0.02,-0.12,2.44,-7.87,1.83,default,FALSE
130339,-1,-0.02,-0.14,2.75,-9.34,2.62,default,FALSE
130347,-1.07,-0.04,-0.13,2.75,-6.9,3.78,default,FALSE
130355,-1.07,-0.04,-0.13,2.75,-6.9,3.78,default,FALSE
130363,-1.08,-0.05,-0.12,-0.85,5.74,3.72,default,FALSE
130371,-1.04,-0.02,-0.11,-0.85,5.74,3.72,default,FALSE
130379,-1.01,0,-0.11,-0.98,7.14,8.73,default,FALSE
130387,-0.99,-0.01,-0.12,0.79,4.52,15.01,default,FALSE
130395,-0.99,-0.03,-0.12,1.46,1.53,16.78,default,FALSE
130403,-0.98,-0.05,-0.14,1.71,1.46,15.32,default,FALSE
130411,-0.96,-0.07,-0.13,1.77,5.86,15.56,default,FALSE
130419,-0.95,-0.08,-0.08,-0.67,10.56,15.5,default,FALSE
130427,-0.91,-0.06,-0.07,-3.72,10.19,13,default,FALSE
130435,-0.88,-0.02,-0.05,-4.15,4.39,12.08,default,FALSE
130443,-0.87,0.01,-0.05,-2.38,-4.7,12.45,default,FALSE
130451,-0.87,0.01,-0.05,0.49,-14.65,10.19,default,FALSE
130459,-0.92,0.01,-0.04,0.79,-19.1,8.48,default,FALSE
130467,-0.98,0,-0.05,0.79,-19.1,8.48,default,FALSE
130475,-1,0.01,-0.1,1.4,-15.81,7.08,default,FALSE
130483,-1.03,-0.04,-0.08,4.15,-9.52,4.03,default,FALSE
130491,-1.04,-0.05,-0.07,4.64,-1.59,0.49,default,FALSE
130499,-1,-0.04,-0.07,3.6,7.32,-2.01,default,FALSE
130507,-0.93,-0.04,-0.07,3.85,11.35,-4.03,default,FALSE
130515,-0.93,-0.04,-0.1,4.7,6.84,-5.98,default,FALSE
130523,-0.96,-0.06,-0.12,4.52,1.46,-8.61,default,FALSE
130531,-0.99,-0.05,-0.13,3.78,2.81,-10.38,default,FALSE
130539,-1,-0.03,-0.14,4.7,8.48,-9.89,default,FALSE
130547,-1,-0.03,-0.14,7.2,14.77,-8.12,default,FALSE
130555,-0.98,-0.01,-0.08,9.89,17.33,-5.74,default,FALSE
130563,-0.98,-0.01,-0.08,9.89,17.33,-5.74,default,FALSE
130571,-1.02,-0.04,-0.03,13.18,17.46,-3.91,default,FALSE
130579,-1.01,-0.01,-0.06,13.18,17.46,-3.91,default,FALSE
130587,-0.97,-0.05,-0.05,15.69,21.55,-0.49,default,FALSE
130595,-0.92,-0.06,-0.04,13.85,21,1.1,default,FALSE
130603,-0.91,-0.06,-0.07,11.23,14.71,-2.87,default,FALSE
130611,-0.93,-0.06,-0.09,9.16,8.18,-6.71,oneshot,TRUE
130619,-0.99,-0.06,-0.1,6.16,4.64,-9.7,oneshot,FALSE
130627,-1.02,-0.04,-0.11,2.81,3.42,-12.21,oneshot,FALSE
