timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ,label,
1875671,-0.99,-0.06,-0.15,-3.36,8.48,-3.05,default,TRUE
1875679,-0.98,-0.05,-0.15,-3.6,7.63,-4.21,default,FALSE
1875687,-0.99,-0.08,-0.13,-3.72,5.43,-4.52,default,FALSE
1875695,-0.99,-0.01,-0.15,-4.76,2.87,-4.27,default,FALSE
1875703,-1,-0.02,-0.16,-4.58,4.58,-2.44,default,FALSE
1875711,-1,-0.02,-0.16,-3.23,5.37,0.37,default,FALSE
1875719,-0.99,-0.03,-0.15,-2.26,4.82,2.69,default,FALSE
1875727,-0.98,-0.05,-0.14,-2.26,4.82,2.69,default,FALSE
1875735,-0.98,-0.05,-0.14,-1.77,2.62,3.54,default,FALSE
1875743,-0.99,-0.06,-0.15,-1.77,2.62,3.54,default,FALSE
1875751,-0.99,-0.05,-0.15,-2.32,-0.31,3.17,default,FALSE
1875759,-0.99,-0.05,-0.16,-2.32,-0.73,2.81,default,FALSE
1875767,-0.99,-0.06,-0.16,-1.95,-0.85,2.62,default,FALSE
1875775,-1,-0.07,-0.17,-2.01,-0.49,2.2,default,FALSE
1875783,-0.99,-0.07,-0.17,-2.2,0.31,1.1,default,FALSE
1875791,-0.99,-0.07,-0.16,-2.81,1.34,0,default,FALSE
1875799,-0.99,-0.07,-0.16,-3.54,1.34,-1.04,default,FALSE
1875807,-0.99,-0.07,-0.16,-3.91,0.92,-2.26,default,FALSE
1875815,-0.99,-0.05,-0.16,-4.21,1.4,-2.5,default,FALSE
1875823,-0.99,-0.05,-0.16,-4.21,1.4,-2.5,default,FALSE
1875831,-0.99,-0.05,-0.16,-4.09,2.01,-1.53,default,FALSE
1875839,-0.99,-0.05,-0.16,-4.09,2.01,-1.53,default,FALSE
1875847,-1,-0.05,-0.16,-3.11,1.83,-1.53,default,FALSE
1875855,-1,-0.04,-0.16,-2.14,2.62,-1.65,default,FALSE
1875863,-0.98,-0.05,-0.15,-1.34,3.85,-1.28,default,FALSE
1875871,-0.98,-0.05,-0.15,-1.16,3.05,-1.16,default,FALSE
1875879,-1,-0.05,-0.16,-1.34,1.83,-1.4,default,FALSE
1875887,-0.99,-0.07,-0.16,-1.65,2.38,-1.28,default,FALSE
1875895,-0.99,-0.06,-0.16,-3.23,2.38,-1.46,default,FALSE
1875903,-0.99,-0.06,-0.16,-4.09,2.08,-2.01,default,FALSE
1875911,-0.99,-0.06,-0.16,-4.39,2.32,-1.95,default,FALSE
1875919,-1,-0.06,-0.16,-5.07,3.48,-1.95,default,FALSE
1875927,-0.99,-0.07,-0.17,-5.07,3.48,-1.95,default,FALSE
1875935,-0.99,-0.07,-0.16,-6.04,4.09,-2.56,default,FALSE
1875943,-1,-0.07,-0.15,-7.14,4.76,-3.36,default,FALSE
1875951,-1.02,-0.14,-0.13,-8.61,5.55,-4.88,default,FALSE
1875959,-0.99,-0.05,-0.17,-12.63,11.05,-5.74,default,FALSE
1875967,-0.99,-0.07,-0.16,-15.56,12.02,-8.48,default,FALSE
1875975,-1,-0.07,-0.13,-15.5,11.11,-11.17,default,FALSE
1875983,-1,-0.05,-0.16,-17.09,13.67,-12.7,default,FALSE
1875991,-1,-0.05,-0.17,-18.68,16.72,-12.7,default,FALSE
1875999,-0.97,-0.03,-0.17,-20.02,19.41,-12.94,default,FALSE
1876007,-0.97,-0.03,-0.17,-17.52,14.28,-14.47,default,FALSE
1876015,-0.97,-0.03,-0.18,-15.01,10.62,-16.36,default,FALSE
1876023,-0.97,-0.03,-0.18,-15.01,10.62,-16.36,default,FALSE
1876031,-1.02,-0.05,-0.16,-13.92,8.73,-18.74,default,FALSE
1876039,-1.04,-0.06,-0.12,-13.92,8.73,-18.74,default,FALSE
1876047,-0.95,-0.01,-0.14,-17.09,17.4,-18.86,default,FALSE
1876055,-0.97,0.03,-0.17,-15.75,14.53,-8.42,default,FALSE
1876063,-1.01,0.01,-0.16,-10.01,7.57,-5.98,default,FALSE
1876071,-1,0.01,-0.13,-5.86,8.85,-7.45,default,FALSE
1876079,-1,0,-0.1,-4.33,9.58,-6.59,default,FALSE
1876087,-1.02,-0.01,-0.09,-1.65,9.28,-7.57,default,FALSE
1876095,-0.96,0.04,-0.08,-1.53,9.58,-8.54,default,FALSE
1876103,-0.96,0.05,-0.12,-1.89,10.01,-2.62,default,FALSE
1876111,-0.96,0.05,-0.12,-1.89,10.01,-2.62,default,FALSE
1876119,-0.99,0.01,-0.09,2.56,2.44,-0.18,default,FALSE
1876127,-0.99,-0.02,-0.08,2.56,2.44,-0.18,default,FALSE
1876135,-1.01,-0.05,-0.06,1.65,1.65,-0.31,default,FALSE
1876143,-0.99,-0.04,-0.12,-0.37,3.66,-0.49,default,FALSE
1876151,-1,-0.05,-0.1,-2.75,2.87,-0.49,default,FALSE
1876159,-0.99,-0.08,-0.1,-3.05,2.08,-0.79,default,FALSE
1876167,-0.99,-0.11,-0.14,-3.23,1.34,-1.1,default,FALSE
1876175,-0.98,-0.05,-0.12,-6.41,1.04,-1.71,default,FALSE
1876183,-0.98,0.03,-0.13,-9.46,-0.43,-1.77,default,FALSE
1876191,-1.01,-0.02,-0.12,-4.15,-2.08,-0.73,default,FALSE
1876199,-0.99,-0.03,-0.13,-2.56,-0.79,-0.49,default,FALSE
1876207,-0.99,-0.03,-0.13,-2.69,-1.83,-0.79,default,FALSE
1876215,-1,0,-0.12,-1.28,-1.71,-0.37,default,FALSE
1876223,-1,0.01,-0.12,-1.28,-1.71,-0.37,default,FALSE
1876231,-1,0.01,-0.11,-0.06,-1.53,-0.43,default,FALSE
1876239,-0.99,0.01,-0.11,0.92,-0.79,-0.43,default,FALSE
1876247,-0.99,-0.02,-0.12,1.89,-1.65,-0.37,default,FALSE
1876255,-1.01,-0.02,-0.11,2.01,-2.32,-0.12,default,FALSE
1876263,-0.99,-0.02,-0.12,1.1,-0.43,-0.18,default,FALSE
1876271,-1,-0.02,-0.13,1.53,-0.67,0,default,FALSE
1876279,-1,-0.04,-0.12,2.01,-0.24,-0.06,default,FALSE
1876287,-1,-0.02,-0.13,1.46,-0.31,-0.31,default,FALSE
1876295,-0.99,-0.02,-0.13,1.16,-0.73,-0.37,default,FALSE
1876303,-0.99,-0.02,-0.13,0.98,-1.28,-0.18,default,FALSE
1876311,-1,-0.06,-0.12,0.55,-0.31,-0.18,default,FALSE
1876319,-1,-0.06,-0.12,0.55,-0.31,-0.18,default,FALSE
1876327,-1,-0.04,-0.12,-0.37,-15.44,-0.67,default,FALSE
1876335,-0.99,-0.02,-0.13,-0.37,-15.44,-0.67,default,FALSE
1876343,-1,-0.01,-0.13,-2.26,-0.18,-0.55,default,FALSE
1876351,-1,-0.02,-0.13,-1.34,0.73,-0.31,default,FALSE
1876359,-0.99,-0.02,-0.12,-0.61,1.34,-0.18,default,FALSE
1876367,-0.99,-0.02,-0.13,-0.43,0.92,-0.24,default,FALSE
1876375,-1,-0.02,-0.14,-0.73,0.49,-0.24,default,FALSE
1876383,-0.99,-0.02,-0.14,-0.85,0.79,-0.31,default,FALSE
1876391,-1,-0.01,-0.14,-0.37,0.79,-0.06,default,FALSE
1876399,-0.99,-0.02,-0.13,0.55,1.1,-0.06,default,FALSE
1876407,-0.99,-0.02,-0.13,0.55,1.1,-0.06,default,FALSE
1876415,-0.99,-0.02,-0.13,0.92,1.53,0.06,default,FALSE
1876423,-1,-0.02,-0.13,0.92,1.53,0.06,default,FALSE
1876431,-1,-0.02,-0.13,1.04,1.59,0,default,FALSE
1876439,-0.99,-0.02,-0.13,1.53,1.89,0,default,FALSE
1876447,-1,-0.02,-0.12,1.65,1.89,0.06,default,FALSE
1876455,-1,-0.02,-0.13,1.28,2.26,-0.12,default,FALSE
1876463,-0.99,-0.02,-0.13,1.16,2.2,-0.06,default,FALSE
1876471,-0.99,-0.03,-0.12,1.28,2.32,-0.06,default,FALSE
1876479,-1,-0.03,-0.12,0.73,2.08,-0.12,default,FALSE
1876487,-1,-0.04,-0.13,-0.06,2.69,-0.06,default,FALSE
1876495,-0.99,-0.03,-0.13,-0.67,3.11,-0.31,default,FALSE
1876503,-0.99,-0.03,-0.13,-0.67,2.75,-0.37,default,FALSE
1876511,-1,-0.04,-0.13,-1.16,2.99,-0.37,default,FALSE
1876519,-0.99,-0.06,-0.13,-1.16,2.99,-0.37,default,FALSE
1876527,-0.99,-0.06,-0.13,-1.83,2.62,0.31,default,FALSE
1876535,-0.98,-0.04,-0.14,-1.83,2.62,0.31,default,FALSE
1876543,-1,-0.04,-0.13,-2.01,1.34,2.32,default,FALSE
1876551,-1.01,0.01,-0.13,-3.05,2.38,2.14,default,FALSE
1876559,-1.01,0.03,-0.12,-1.89,2.56,0.06,default,FALSE
1876567,-1,0.03,-0.12,0.24,4.33,-1.34,default,FALSE
1876575,-0.99,-0.01,-0.12,2.44,5.55,-2.38,default,FALSE
1876583,-0.99,-0.03,-0.13,3.48,5.25,-1.95,default,FALSE
